Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,SE_A03001B_001,SE_A03001B_002,SE_A03001B_003,SE_A03001B_004,SE_A03001B_005,SE_A03001B_006,SE_A03001B_007,SE_A03001B_008,SE_A03001B_009,SE_A03001B_010,SE_A14016_001,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B13004_001,SE_B13004_002,SE_B13004_003,SE_B13004_004,SE_B13004_005
06037650800,14000US06037650800,Census Tract 6508,"Census Tract 6508, Los Angeles County, California",ca,140,0,ACSSF,5940,06,037,650800,1047,292,0,0,728,0,13,14,272,47,92411,1047,199,303,6550,337,730,1067,5483
06037650901,14000US06037650901,Census Tract 6509.01,"Census Tract 6509.01, Los Angeles County, California",ca,140,0,ACSSF,5941,06,037,650901,1386,850,29,0,248,0,168,91,702,327,62556,1386,297,325,5435,310,657,967,4468
06037650902,14000US06037650902,Census Tract 6509.02,"Census Tract 6509.02, Los Angeles County, California",ca,140,0,ACSSF,5942,06,037,650902,1422,648,51,64,452,32,60,115,431,436,87333,1422,317,117,6774,450,472,922,5852
06037651001,14000US06037651001,Census Tract 6510.01,"Census Tract 6510.01, Los Angeles County, California",ca,140,0,ACSSF,5943,06,037,651001,412,135,0,0,48,21,157,51,101,191,44455,412,141,102,5574,472,888,1360,4214
06037651002,14000US06037651002,Census Tract 6510.02,"Census Tract 6510.02, Los Angeles County, California",ca,140,0,ACSSF,5944,06,037,651002,705,359,21,0,209,0,86,30,290,165,71835,705,245,60,4836,251,516,767,4069
06037651101,14000US06037651101,Census Tract 6511.01,"Census Tract 6511.01, Los Angeles County, California",ca,140,0,ACSSF,5945,06,037,651101,791,314,8,8,417,0,24,20,276,67,61993,791,289,166,5131,288,463,751,4380
06037651102,14000US06037651102,Census Tract 6511.02,"Census Tract 6511.02, Los Angeles County, California",ca,140,0,ACSSF,5946,06,037,651102,893,461,34,0,268,0,103,27,385,172,65022,893,175,238,3656,216,408,624,3032
06037651201,14000US06037651201,Census Tract 6512.01,"Census Tract 6512.01, Los Angeles County, California",ca,140,0,ACSSF,5947,06,037,651201,194,125,10,0,32,27,0,0,125,0,124375,194,27,16,4826,132,177,309,4517
06037651221,14000US06037651221,Census Tract 6512.21,"Census Tract 6512.21, Los Angeles County, California",ca,140,0,ACSSF,5948,06,037,651221,991,385,96,0,439,0,40,31,307,126,69375,991,201,222,3483,175,484,659,2824
06037651222,14000US06037651222,Census Tract 6512.22,"Census Tract 6512.22, Los Angeles County, California",ca,140,0,ACSSF,5949,06,037,651222,1572,592,86,13,770,0,95,16,365,375,83048,1572,352,322,6369,382,742,1124,5245
06037651302,14000US06037651302,Census Tract 6513.02,"Census Tract 6513.02, Los Angeles County, California",ca,140,0,ACSSF,5950,06,037,651302,547,310,58,0,116,0,0,63,288,55,64356,547,175,156,6032,378,355,733,5299
06037651304,14000US06037651304,Census Tract 6513.04,"Census Tract 6513.04, Los Angeles County, California",ca,140,0,ACSSF,5951,06,037,651304,1081,998,31,0,23,0,13,16,909,118,66549,1081,279,224,4650,211,418,629,4021
06037651401,14000US06037651401,Census Tract 6514.01,"Census Tract 6514.01, Los Angeles County, California",ca,140,0,ACSSF,5952,06,037,651401,364,236,14,0,100,0,0,14,209,34,64348,364,92,76,2586,74,254,328,2258
06037651402,14000US06037651402,Census Tract 6514.02,"Census Tract 6514.02, Los Angeles County, California",ca,140,0,ACSSF,5953,06,037,651402,769,342,17,36,247,0,19,108,266,95,48419,769,130,287,6358,231,839,1070,5288
06037670001,14000US06037670001,Census Tract 6700.01,"Census Tract 6700.01, Los Angeles County, California",ca,140,0,ACSSF,5954,06,037,670001,459,253,89,0,18,0,89,10,205,137,47054,459,164,123,3422,312,403,715,2707
06037670002,14000US06037670002,Census Tract 6700.02,"Census Tract 6700.02, Los Angeles County, California",ca,140,0,ACSSF,5955,06,037,670002,830,506,72,0,137,0,60,55,345,240,49500,830,189,133,3986,415,238,653,3333
06037670003,14000US06037670003,Census Tract 6700.03,"Census Tract 6700.03, Los Angeles County, California",ca,140,0,ACSSF,5956,06,037,670003,1146,748,17,0,185,0,161,35,461,468,56064,1146,335,223,5700,331,591,922,4778
06037670100,14000US06037670100,Census Tract 6701,"Census Tract 6701, Los Angeles County, California",ca,140,0,ACSSF,5957,06,037,670100,1688,920,188,16,204,0,237,123,627,502,42232,1688,394,490,6694,1123,1105,2228,4466
06037670201,14000US06037670201,Census Tract 6702.01,"Census Tract 6702.01, Los Angeles County, California",ca,140,0,ACSSF,5958,06,037,670201,259,191,0,0,59,0,0,9,191,9,67545,259,71,49,3812,185,150,335,3477
